CD,PB,THG
1102,1102,1102
0.14,0.18,0.2
0.14,0.47,0.2
0.2,0.61,0.44
0.3,0.84,0.75
0.52122,1.14,1.45279
1,1.52,2.85984
1.47235,1.9,3.92476
3.06276,3.53532,7.86556
8.81,9.35,15.1
0.49341,0.973,1.26839
0.34118,0.85186,0.79868
