Ba,Cd,Co,Cs,Mo,Pb,Sb,Tl,Tu,Ur
467,467,467,467,467,467,467,467,467,467
0.13369,0.01705,0.02443,0.64303,3.34959,0.0625,0.01271,0.03182,0.0098,6.8e-4
0.52703,0.08012,0.21077,2.43498,21.15128,0.18348,0.02939,0.09096,0.02827,0.00273
0.87001,0.11822,0.29594,3.18182,31.65462,0.25925,0.03973,0.11533,0.04563,0.00437
1.54571,0.19597,0.44492,4.1542,44.77372,0.36512,0.05789,0.16192,0.07921,0.00669
2.75257,0.32122,0.65707,5.6498,62.45234,0.57097,0.08268,0.22046,0.14001,0.01085
4.70489,0.512,1.08407,7.69121,85.42455,0.81942,0.13551,0.29718,0.22706,0.01844
6.07766,0.64414,1.50897,9.45628,113.78347,1.00671,0.22846,0.34551,0.30462,0.0249
15.37548,0.94089,2.25407,12.01833,208.07275,1.97256,0.33237,0.45587,0.51891,0.05183
19.85075,1.69841,3.4,25.44,349.56522,2.48889,1.3587,0.76923,2.19497,0.17189
2.32107,0.25435,0.57108,4.75483,52.95191,0.4638,0.07987,0.17984,0.11791,0.00985
1.57002,0.19898,0.45637,4.25418,44.2067,0.38522,0.06086,0.16003,0.08084,0.00702
